nationality,most common name,second most common name,third most common name,most common name count,second most common name count,third most common name count
Costa Rica,Bernie,Elsa Molina,Father Rafael,1,1,1
Croatia,Luka,Marija,Marinko,3,2,2
Cuba,Fidel Castro,Angel,Adolfo,9,2,1
Cyprus,Dr. Andros,Emile,General Skyros,1,1,1
Czech,Franta,Anna,Dr. Bomasch,2,1,1
Czecholsovakia,Doctor Heřman,,,1,0,0
Côte d'Ivoire,Rudy Guede,,,1,0,0
Denmark,Egon,Anders,Benny,3,2,2
Dominican Republic,Cara Mirtha,Minerva Mirabal,Alejandro Venegas,2,2,1
Ecuador,Don Lucho,Galápagos Tortoises,Ivan,1,1,1
Egypt,Cleopatra,Ahmed,Hassan,6,5,3
El Salvador,Alicia Montalvo,Archbishop Óscar Romero,Beto,1,1,1
Equatorial Guinea,Estrada,Florencio,Francisco Macías,1,1,1
Estonia,Aleksander Kesküla,Alfred Käärmann,Eerik Ekström,1,1,1
Ethiopia,Mengistu Haile Mariam,Abebe,Abebe Bikila,2,1,1
Faroe Islands,Arne,Daughter,Dr. Stefan Horn,1,1,1
Fiji,Ben,Charlene,Danny,1,1,1
Finland,Uuno,Elisabet,Father-in-law,4,2,2
France,Pierre,Marie,Paul,28,23,19
French Polynesia,Hitu,Matahi,Reri,1,1,1
Gambia,Franzis Namazi,Kunta Kinte,,1,1,0
Georgia,Georgian Soldier,Ada,Arutin Kirakozovich Zimzimov,2,1,1
German,Adolf Hitler,Elsa,Hans,5,3,3
Germany,Adolf Hitler,Klaus,German Officer,46,10,9
Ghana,Enoch Sarpong Jr.,Enoch's Little Sister,Jimah,1,1,1
Greece,Hercules,Achilles,Alexandra,5,3,3
Greenland,Inuk,Naja,Aviaaja,2,2,1
Grenada,Gabriel Angel,Vesuvia,,1,1,0
Guadeloupe,Serge Nubret,,,1,0,0
Guam,Antonio Cruz,Chico,Jospehina (Joe),1,1,1
